changelog_path,version,changes_before_release,release_date,avg_changes_per_file
sdk/agentserver/Azure.AI.AgentServer.AgentFramework/CHANGELOG.md,1.0.0-beta.1,0,2025-11-07,0.00
sdk/agentserver/Azure.AI.AgentServer.Contracts/CHANGELOG.md,1.0.0-beta.1,0,2025-11-07,0.00
sdk/agentserver/Azure.AI.AgentServer.Core/CHANGELOG.md,1.0.0-beta.1,0,2025-11-07,0.00
sdk/appconfiguration/Azure.Data.AppConfiguration/CHANGELOG.md,1.7.0,0,2025-11-07,0.00
sdk/cognitiveservices/Azure.ResourceManager.CognitiveServices/CHANGELOG.md,1.5.2,0,2025-11-11,0.00
sdk/core/Azure.Core/CHANGELOG.md,1.50.0,0,2025-11-05,0.00
sdk/datafactory/Azure.ResourceManager.DataFactory/CHANGELOG.md,1.10.0,0,2025-09-03,0.00
sdk/iotoperations/Azure.ResourceManager.IotOperations/CHANGELOG.md,1.1.0-beta.1,0,2025-09-09,0.00
sdk/openai/Azure.AI.OpenAI/CHANGELOG.md,2.5.0-beta.1,0,2025-10-03,0.00
sdk/redisenterprise/Azure.ResourceManager.RedisEnterprise/CHANGELOG.md,1.3.0,0,2025-11-10,0.00
